thscode,report_date,资产总计,资产负债率,净利润,营业收入,负债合计,所有者权益合计,Layer
002405.SZ,20190331,9024567634.42,17.6612,38699107.84,521929835.43,1593849071.86,7430718562.56,中游
300624.SZ,20190331,720248397.19,13.8056,24044465.93,171861502.92,99434915.93,620813481.26,中游
300634.SZ,20190331,1639055022.02,19.979,28488223.41,151791879.22,327466301.27,1311588720.75,中游
002777.SZ,20190331,1918538157.7,41.1749,14164963.64,126257210.73,789956362.15,1128581795.55,中游
300365.SZ,20190331,2489729293.69,26.1423,8848069.04,106890910.2,650872116.58,1838857177.11,中游
688088.SH,20190331,1247027056.95,15.428,30421221.62,126048068.98,192391376.03,1054635680.92,中游
300496.SZ,20190331,2497771260.93,35.03,49564362.94,334885053.5,874968097.83,1622803163.1,中游
002253.SZ,20190331,1616916770.44,13.103,3183665.19,43470115.95,211865071.98,1405051698.46,中游
300078.SZ,20190331,3345296622.51,32.0573,26202306.51,303023959.84,1072412413.21,2272884209.3,中游
002236.SZ,20190331,25249751298.42,47.3873,305420296.81,4347918104.26,11965178903.75,13284572394.67,中游
688023.SH,20190331,,,-37334691.58,81111735.0,,,中游
300451.SZ,20190331,3033565452.67,20.0672,64025564.66,320103330.07,608752304.15,2424813148.52,中游
000997.SZ,20190331,11459440082.67,49.5179,250092963.03,1214534746.01,5674472258.49,5784967824.18,中游
688228.SH,20190331,,,2041064.83,27436970.39,,,下游
300785.SZ,20190331,487645405.12,29.0537,18142468.29,103352392.2,141678839.58,345966565.54,下游
300058.SZ,20190331,17602319175.3,55.4124,226308455.94,5595050504.42,9753858903.47,7848460271.83,下游
002131.SZ,20190331,13830649806.3,42.6894,137635260.52,3300515008.62,5904218537.55,7926431268.75,下游
600556.SH,20190331,101332620.85,68.1672,-6899561.76,5462056.01,69075649.66,32256971.19,下游
300781.SZ,20190331,382588328.56,16.9675,10133058.15,94266849.39,64915548.53,317672780.03,下游
600570.SH,20190331,6379861764.17,40.1102,388920899.7,592186314.03,2558973455.4,3820888308.77,下游
002607.SZ,20190331,9960589685.08,69.14,106193482.28,1311632662.04,6886747127.41,3073842557.67,下游
300253.SZ,20190331,4226795053.85,18.1918,51279762.58,246968378.88,768928744.79,3457866309.06,下游
688369.SH,20190331,,,-8103382.32,83513854.22,,,下游
300188.SZ,20190331,3285900762.97,19.115,-24243196.04,246643816.26,628101491.23,2657799271.74,下游
002439.SZ,20190331,4690636560.12,23.7293,-44009247.3,347101346.28,1113053610.56,3577582949.56,下游
300036.SZ,20190331,2615051353.86,25.7769,6249991.95,216401394.7,674079457.15,1940971896.71,下游
300020.SZ,20190331,6124286806.83,45.1316,59615231.58,558652448.46,2763986854.42,3360299952.41,下游
300075.SZ,20190331,3032463789.03,27.0965,22036798.31,206127243.89,821692085.61,2210771703.42,下游
300168.SZ,20190331,8956384848.27,56.0545,15160894.57,380394842.03,5020452832.67,3935932015.6,下游
002065.SZ,20190331,16345843481.83,42.3719,148944292.4,1638024012.88,6926041206.05,9419802275.78,下游
600410.SH,20190331,10001444875.26,45.2231,193924983.65,1151478641.98,4522959058.75,5478485816.51,下游
300170.SZ,20190331,3838695799.3,21.5302,62818397.49,701838700.44,826478600.86,3012217198.44,下游
002368.SZ,20190331,7512690223.24,59.361,15629135.91,1559319100.54,4459607043.65,3053083179.59,下游
